Year,Sport,Event,Bronze,Silver,Gold
1988,Cycling,Cycling Women's Sprint,USA,Germany,Russia
1988,Diving,Diving Men's Platform,Mexico,China,USA
1988,Diving,Diving Men's Springboard,China,China,USA
1988,Diving,Diving Women's Platform,USA,USA,China
1988,Diving,Diving Women's Springboard,USA,China,China
1988,Equestrianism,"Equestrianism Mixed Dressage, Individual",Switzerland,France,Germany
1988,Equestrianism,"Equestrianism Mixed Dressage, Team",Canada,Switzerland,Germany
1988,Equestrianism,"Equestrianism Mixed Jumping, Individual",Germany,USA,France
1988,Equestrianism,"Equestrianism Mixed Jumping, Team",France,USA,Germany
1988,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",UK,UK,New Zealand
1988,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",New Zealand,UK,Germany
1988,Fencing,"Fencing Men's Foil, Individual",Russia,Germany,Italy
1988,Fencing,"Fencing Men's Foil, Team",Hungary,Germany,Russia
1988,Fencing,"Fencing Men's Sabre, Individual",Italy,Poland,France
1988,Fencing,"Fencing Men's Sabre, Team",Italy,Russia,Hungary
1988,Fencing,"Fencing Men's epee, Individual",Russia,France,Germany
1988,Fencing,"Fencing Men's epee, Team",Russia,Germany,France
1988,Fencing,"Fencing Women's Foil, Individual",Germany,Germany,Germany
1988,Fencing,"Fencing Women's Foil, Team",Hungary,Italy,Germany
1988,Football,Football Men's Football,Germany,Brazil,Russia
1988,Gymnastics,Gymnastics Men's Floor Exercise,China,Russia,Russia
1988,Gymnastics,Gymnastics Men's Horizontal Bar,Germany,Data Missing,Russia
1988,Gymnastics,Gymnastics Men's Horse Vault,South Korea,Germany,China
1988,Gymnastics,Gymnastics Men's Individual All-Around,Russia,Russia,Russia
1988,Gymnastics,Gymnastics Men's Parallel Bars,Germany,Russia,Russia
1988,Gymnastics,Gymnastics Men's Pommelled Horse,Data Missing,Data Missing,Bulgaria
1988,Gymnastics,Gymnastics Men's Rings,Germany,Data Missing,Germany
1988,Gymnastics,Gymnastics Men's Team All-Around,Japan,Germany,Russia
1988,Gymnastics,Gymnastics Women's Balance Beam,Romania,Russia,Romania
1988,Gymnastics,Gymnastics Women's Floor Exercise,Bulgaria,Russia,Romania
1988,Gymnastics,Gymnastics Women's Horse Vault,Romania,Romania,Russia
1988,Gymnastics,Gymnastics Women's Individual All-Around,Russia,Romania,Russia
1988,Gymnastics,Gymnastics Women's Team All-Around,Germany,Romania,Russia
1988,Gymnastics,Gymnastics Women's Uneven Bars,Russia,Germany,Romania
1988,Handball,Handball Men's Handball,Serbia,South Korea,Russia
1988,Handball,Handball Women's Handball,Russia,Norway,South Korea
1988,Hockey,Hockey Men's Hockey,Netherlands,Germany,UK
1988,Hockey,Hockey Women's Hockey,Netherlands,South Korea,Australia
1988,Judo,Judo Men's Extra-Lightweight,Japan,USA,South Korea
1988,Judo,Judo Men's Half-Heavyweight,Belgium,Germany,Brazil
1988,Judo,Judo Men's Half-Lightweight,France,Poland,South Korea
1988,Judo,Judo Men's Half-Middleweight,Germany,Germany,Poland
1988,Judo,Judo Men's Heavyweight,South Korea,Germany,Japan
1988,Judo,Judo Men's Lightweight,Russia,Germany,France
1988,Judo,Judo Men's Middleweight,Japan,Russia,Austria
1988,Modern Pentathlon,Modern Pentathlon Men's Individual,Russia,Italy,Hungary
1988,Modern Pentathlon,Modern Pentathlon Men's Team,UK,Italy,Hungary
1988,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Russia,Bulgaria,Russia
1988,Rowing,Rowing Men's Coxed Eights,USA,Russia,Germany
1988,Rowing,Rowing Men's Coxed Fours,New Zealand,Romania,Germany
1988,Rowing,Rowing Men's Coxed Pairs,UK,Germany,Italy
1988,Rowing,Rowing Men's Coxless Fours,Germany,USA,Germany
1988,Rowing,Rowing Men's Coxless Pairs,Serbia,Romania,UK
1988,Rowing,Rowing Men's Double Sculls,Russia,Switzerland,Netherlands
1988,Rowing,Rowing Men's Quadruple Sculls,Germany,Norway,Italy
1988,Rowing,Rowing Men's Single Sculls,New Zealand,Germany,Germany
1988,Rowing,Rowing Women's Coxed Eights,China,Romania,Germany
1988,Rowing,Rowing Women's Coxed Fours,Romania,China,Germany
1988,Rowing,Rowing Women's Coxless Pairs,New Zealand,Bulgaria,Romania
1988,Rowing,Rowing Women's Double Sculls,Bulgaria,Romania,Germany
1988,Rowing,Rowing Women's Quadruple Sculls,Romania,Russia,Germany
1988,Rowing,Rowing Women's Single Sculls,Bulgaria,USA,Germany
1988,Sailing,Sailing Men's Two Person Dinghy,USA,Russia,France
1988,Sailing,Sailing Mixed Multihull,Brazil,New Zealand,France
1988,Sailing,Sailing Mixed One Person Dinghy,New Zealand,"Virgin Islands, US",Spain
1988,Sailing,Sailing Mixed Three Person Keelboat,Denmark,USA,Germany
1988,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Canada,Norway,Denmark
1988,Sailing,Sailing Mixed Two Person Keelboat,Brazil,USA,UK
1988,Sailing,Sailing Mixed Windsurfer,USA,Curacao,New Zealand
1988,Sailing,Sailing Women's Two Person Dinghy,Russia,Sweden,USA
1988,Shooting,"Shooting Men's Air Pistol, 10 metres",China,USA,Bulgaria
1988,Shooting,"Shooting Men's Air Rifle, 10 metres",Germany,France,Serbia
1988,Shooting,"Shooting Men's Free Pistol, 50 metres",Russia,Sweden,Romania
1988,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Hungary,Germany,Russia
1988,Shooting,"Shooting Men's Running Target, 50 metres",Russia,China,Norway
1988,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Hungary,South Korea,Czech Republic
1988,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Russia,UK,UK
1988,Shooting,Shooting Mixed Skeet,Spain,Chile,Germany
1988,Shooting,Shooting Mixed Trap,Belgium,Czech Republic,Russia
1988,Shooting,"Shooting Women's Air Pistol, 10 metres",Russia,Russia,Serbia
1988,Shooting,"Shooting Women's Air Rifle, 10 metres",Russia,Germany,Russia
1988,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Russia,Bulgaria,Germany
1988,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Serbia,Japan,Russia
1988,Swimming,"Swimming Men's 1,500 metres Freestyle",Germany,Germany,Russia
1988,Swimming,Swimming Men's 100 metres Backstroke,Russia,USA,Japan
1988,Swimming,Swimming Men's 100 metres Breaststroke,Russia,Hungary,UK
1988,Swimming,Swimming Men's 100 metres Butterfly,UK,USA,Suriname
1988,Swimming,Swimming Men's 100 metres Freestyle,France,USA,USA
1988,Swimming,Swimming Men's 200 metres Backstroke,New Zealand,Germany,Russia
1988,Swimming,Swimming Men's 200 metres Breaststroke,Spain,UK,Hungary
1988,Swimming,Swimming Men's 200 metres Butterfly,New Zealand,Denmark,Germany
1988,Swimming,Swimming Men's 200 metres Freestyle,USA,Sweden,Australia
1988,Swimming,Swimming Men's 200 metres Individual Medley,Russia,Germany,Hungary
1988,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Germany,Russia,USA
1988,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Russia,Canada,USA
1988,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Germany,Germany,USA
1988,Swimming,Swimming Men's 400 metres Freestyle,Poland,Australia,Germany
1988,Swimming,Swimming Men's 400 metres Individual Medley,Italy,USA,Hungary
1988,Swimming,Swimming Men's 50 metres Freestyle,Russia,USA,USA
1988,Swimming,Swimming Women's 100 metres Backstroke,Germany,Hungary,Germany
1988,Swimming,Swimming Women's 100 metres Breaststroke,Germany,Bulgaria,Bulgaria
1988,Swimming,Swimming Women's 100 metres Butterfly,China,Germany,Germany
1988,Swimming,Swimming Women's 100 metres Freestyle,France,China,Germany
1988,Swimming,Swimming Women's 200 metres Backstroke,Germany,Germany,Hungary
1988,Swimming,Swimming Women's 200 metres Breaststroke,Bulgaria,China,Germany
1988,Swimming,Swimming Women's 200 metres Butterfly,USA,Germany,Germany
1988,Swimming,Swimming Women's 200 metres Freestyle,Germany,Costa Rica,Germany
1988,Swimming,Swimming Women's 200 metres Individual Medley,Romania,Russia,Germany
1988,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Netherlands,Germany
1988,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Canada,USA,Germany
1988,Swimming,Swimming Women's 400 metres Freestyle,Germany,Germany,USA
1988,Swimming,Swimming Women's 400 metres Individual Medley,Germany,Romania,USA
1988,Swimming,Swimming Women's 50 metres Freestyle,Germany,China,Germany
1988,Swimming,Swimming Women's 800 metres Freestyle,Australia,Germany,USA
1988,Synchronized Swimming,Synchronized Swimming Women's Duet,Japan,USA,Canada
1988,Synchronized Swimming,Synchronized Swimming Women's Solo,Japan,USA,Canada
1988,Table Tennis,Table Tennis Men's Doubles,South Korea,Serbia,China
1988,Table Tennis,Table Tennis Men's Singles,Sweden,South Korea,South Korea
1988,Table Tennis,Table Tennis Women's Doubles,Serbia,China,South Korea
1988,Table Tennis,Table Tennis Women's Singles,China,China,China
1988,Tennis,Tennis Men's Doubles,Sweden,Spain,USA
1988,Tennis,Tennis Men's Singles,Sweden,USA,Czech Republic
1988,Tennis,Tennis Women's Doubles,Australia,Czech Republic,USA
1988,Tennis,Tennis Women's Singles,Bulgaria,Argentina,Germany
1988,Volleyball,Volleyball Men's Volleyball,Argentina,Russia,USA
1988,Volleyball,Volleyball Women's Volleyball,China,Peru,Russia
1988,Water Polo,Water Polo Men's Water Polo,Russia,USA,Serbia
1988,Weightlifting,Weightlifting Men's Bantamweight,China,China,Russia
1988,Weightlifting,Weightlifting Men's Featherweight,China,Bulgaria,Turkey
1988,Weightlifting,Weightlifting Men's Flyweight,China,South Korea,Bulgaria
1988,Weightlifting,Weightlifting Men's Heavyweight I,Germany,Romania,Russia
1988,Weightlifting,Weightlifting Men's Heavyweight II,Germany,Hungary,Russia
1988,Weightlifting,Weightlifting Men's Light-Heavyweight,South Korea,Hungary,Russia
1988,Weightlifting,Weightlifting Men's Lightweight,China,Russia,Germany
1988,Weightlifting,Weightlifting Men's Middle-Heavyweight,Poland,Russia,Russia
1988,Weightlifting,Weightlifting Men's Middleweight,Bulgaria,Germany,Bulgaria
1988,Weightlifting,Weightlifting Men's Super-Heavyweight,Germany,Germany,Russia
1988,Wrestling,"Wrestling Men's Bantamweight, Freestyle",South Korea,Iran,Russia
1988,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Greece,Bulgaria,Hungary
1988,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bulgaria,Russia,USA
1988,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",South Korea,Bulgaria,Russia
1988,Wrestling,"Wrestling Men's Flyweight, Freestyle",Russia,Serbia,Japan
1988,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",South Korea,Japan,Norway
1988,Wrestling,"Wrestling Men's Heavyweight, Freestyle",USA,Russia,Romania
1988,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",USA,Germany,Poland
1988,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Russia,Bulgaria,Japan
1988,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bulgaria,Poland,Italy
1988,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",South Korea,Japan,Russia
1988,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Russia,Finland,Bulgaria
1988,Wrestling,"Wrestling Men's Lightweight, Freestyle",USA,South Korea,Russia
1988,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Finland,South Korea,Russia
1988,Wrestling,"Wrestling Men's Middleweight, Freestyle",Czech Republic,Turkey,South Korea
1988,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",South Korea,Hungary,Russia
1988,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Germany,USA,Russia
1988,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Sweden,Bulgaria,Russia
1988,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bulgaria,Russia,USA
1988,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Poland,Russia,South Korea
1992,Archery,Archery Men's Individual,UK,South Korea,France
1992,Archery,Archery Men's Team,UK,Finland,Spain
1992,Archery,Archery Women's Individual,Russia,South Korea,South Korea
1992,Archery,Archery Women's Team,Russia,China,South Korea
1992,Athletics,"Athletics Men's 1,500 metres",Qatar,Morocco,Spain
1992,Athletics,"Athletics Men's 10,000 metres",Ethiopia,Kenya,Morocco
1992,Athletics,Athletics Men's 100 metres,USA,Namibia,UK
1992,Athletics,Athletics Men's 110 metres Hurdles,USA,USA,Canada
1992,Athletics,Athletics Men's 20 kilometres Walk,Italy,Canada,Spain
1992,Athletics,Athletics Men's 200 metres,USA,Namibia,USA
1992,Athletics,"Athletics Men's 3,000 metres Steeplechase",Kenya,Kenya,Kenya
1992,Athletics,Athletics Men's 4 x 100 metres Relay,Cuba,Nigeria,USA
1992,Athletics,Athletics Men's 4 x 400 metres Relay,UK,Cuba,USA
1992,Athletics,Athletics Men's 400 metres,Kenya,USA,USA
1992,Athletics,Athletics Men's 400 metres Hurdles,UK,Jamaica,USA
1992,Athletics,"Athletics Men's 5,000 metres",Ethiopia,Kenya,Germany
1992,Athletics,Athletics Men's 50 kilometres Walk,Germany,Mexico,Russia
1992,Athletics,Athletics Men's 800 metres,USA,Kenya,Kenya
1992,Athletics,Athletics Men's Decathlon,USA,Spain,Czech Republic
1992,Athletics,Athletics Men's Discus Throw,Cuba,Germany,Lithuania
1992,Athletics,Athletics Men's Hammer Throw,Russia,Russia,Russia
1992,Athletics,Athletics Men's High Jump,Australia,Sweden,Cuba
1992,Athletics,Athletics Men's Javelin Throw,UK,Finland,Czech Republic
1992,Athletics,Athletics Men's Long Jump,USA,USA,USA
1992,Athletics,Athletics Men's Marathon,Germany,Japan,South Korea
1992,Athletics,Athletics Men's Pole Vault,Spain,Russia,Russia
1992,Athletics,Athletics Men's Shot Put,Russia,USA,USA
1992,Athletics,Athletics Men's Triple Jump,Bahamas,USA,USA
1992,Athletics,"Athletics Women's 1,500 metres",China,Russia,Algeria
1992,Athletics,Athletics Women's 10 kilometres Walk,China,Russia,China
1992,Athletics,"Athletics Women's 10,000 metres",USA,South Africa,Ethiopia
1992,Athletics,Athletics Women's 100 metres,Russia,Jamaica,USA
1992,Athletics,Athletics Women's 100 metres Hurdles,Bulgaria,USA,Greece
1992,Athletics,Athletics Women's 200 metres,Jamaica,Jamaica,USA
1992,Athletics,"Athletics Women's 3,000 metres",Canada,Russia,Russia
1992,Athletics,Athletics Women's 4 x 100 metres Relay,Nigeria,Russia,USA
1992,Athletics,Athletics Women's 4 x 400 metres Relay,UK,USA,Russia
1992,Athletics,Athletics Women's 400 metres,Colombia,Russia,France
1992,Athletics,Athletics Women's 400 metres Hurdles,USA,USA,UK
1992,Athletics,Athletics Women's 800 metres,Cuba,Russia,Netherlands
1992,Athletics,Athletics Women's Discus Throw,Australia,Bulgaria,Cuba
1992,Athletics,Athletics Women's Heptathlon,Germany,Russia,USA
1992,Athletics,Athletics Women's High Jump,Cuba,Romania,Germany
1992,Athletics,Athletics Women's Javelin Throw,Germany,Russia,Germany
1992,Athletics,Athletics Women's Long Jump,USA,Russia,Germany
1992,Athletics,Athletics Women's Marathon,New Zealand,Japan,Russia
1992,Athletics,Athletics Women's Shot Put,Germany,China,Russia
1992,Badminton,Badminton Men's Doubles,China,Indonesia,South Korea
1992,Badminton,Badminton Men's Singles,Denmark,Indonesia,Indonesia
1992,Badminton,Badminton Women's Doubles,China,China,South Korea
1992,Badminton,Badminton Women's Singles,China,South Korea,Indonesia
1992,Baseball,Baseball Men's Baseball,Japan,Taiwan,Cuba
1992,Basketball,Basketball Men's Basketball,Lithuania,Croatia,USA
1992,Basketball,Basketball Women's Basketball,USA,China,Russia
1992,Boxing,Boxing Men's Bantamweight,Morocco,Ireland,Cuba
1992,Boxing,Boxing Men's Featherweight,Algeria,Spain,Germany
1992,Boxing,Boxing Men's Flyweight,Hungary,Cuba,North Korea
1992,Boxing,Boxing Men's Heavyweight,Netherlands,Nigeria,Cuba
1992,Boxing,Boxing Men's Light-Flyweight,Germany,Bulgaria,Cuba
1992,Boxing,Boxing Men's Light-Heavyweight,Hungary,Russia,Germany
1992,Boxing,Boxing Men's Light-Middleweight,UK,Netherlands,Cuba
1992,Boxing,Boxing Men's Light-Welterweight,Finland,Canada,Cuba
1992,Boxing,Boxing Men's Lightweight,South Korea,Germany,USA
1992,Boxing,Boxing Men's Middleweight,Canada,USA,Cuba
1992,Boxing,Boxing Men's Super-Heavyweight,Bulgaria,Nigeria,Cuba
1992,Boxing,Boxing Men's Welterweight,Puerto Rico,Cuba,Ireland
1992,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",France,Denmark,Germany
1992,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bulgaria,Germany,Russia
1992,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",France,Czech Republic,USA
1992,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Hungary,Latvia,Bulgaria
1992,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Germany,Russia,Bulgaria
1992,Canoeing,"Canoeing Men's Canadian Singles, Slalom",France,UK,Czech Republic
1992,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Poland,Sweden,Germany
1992,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Italy,Poland,Germany
1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Australia,Hungary,Germany
1992,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",USA,Norway,Australia
1992,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Norway,Hungary,Finland
1992,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Germany,France,Italy
1992,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Hungary,Sweden,Germany
1992,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Sweden,Germany,Hungary
1992,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Poland,Hungary,Germany
1992,Canoeing,"Canoeing Women's Kayak Singles, Slalom",USA,Australia,Germany
1992,Cycling,"Cycling Men's 1,000 metres Time Trial",USA,Australia,Spain
1992,Cycling,Cycling Men's 100 kilometres Team Time Trial,France,Italy,Germany
1992,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",New Zealand,Germany,UK
1992,Cycling,Cycling Men's Points Race,Belgium,Netherlands,Italy
1992,Cycling,"Cycling Men's Road Race, Individual",Latvia,Netherlands,Italy
1992,Cycling,Cycling Men's Sprint,Canada,Australia,Germany
1992,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Denmark,Australia,Germany
1992,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",USA,Australia,Germany
1992,Cycling,"Cycling Women's Road Race, Individual",Netherlands,France,Australia
1992,Cycling,Cycling Women's Sprint,Netherlands,Germany,Estonia
1992,Diving,Diving Men's Platform,China,USA,China
1992,Diving,Diving Men's Springboard,Russia,China,USA
1992,Diving,Diving Women's Platform,USA,Russia,China
1992,Diving,Diving Women's Springboard,Germany,Russia,China
1992,Equestrianism,"Equestrianism Mixed Dressage, Individual",Germany,Germany,Germany
1992,Equestrianism,"Equestrianism Mixed Dressage, Team",USA,Netherlands,Germany
1992,Equestrianism,"Equestrianism Mixed Jumping, Individual",USA,Netherlands,Germany
1992,Equestrianism,"Equestrianism Mixed Jumping, Team",France,Austria,Netherlands
1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",New Zealand,Germany,Australia
1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Germany,New Zealand,Australia
1992,Fencing,"Fencing Men's Foil, Individual",Cuba,Russia,France
1992,Fencing,"Fencing Men's Foil, Team",Poland,Cuba,Germany
1992,Fencing,"Fencing Men's Sabre, Individual",France,Italy,Hungary
1992,Fencing,"Fencing Men's Sabre, Team",France,Hungary,Russia
1992,Fencing,"Fencing Men's epee, Individual",France,Russia,France
1992,Fencing,"Fencing Men's epee, Team",Russia,Hungary,Germany
1992,Fencing,"Fencing Women's Foil, Individual",Russia,China,Italy
1992,Fencing,"Fencing Women's Foil, Team",Romania,Germany,Italy
1992,Football,Football Men's Football,Ghana,Poland,Spain
1992,Gymnastics,Gymnastics Men's Floor Exercise,Data Missing,Russia,China
1992,Gymnastics,Gymnastics Men's Horizontal Bar,Data Missing,Russia,USA
1992,Gymnastics,Gymnastics Men's Horse Vault,South Korea,Russia,Russia
1992,Gymnastics,Gymnastics Men's Individual All-Around,Russia,Russia,Russia
1992,Gymnastics,Gymnastics Men's Parallel Bars,China,China,Russia
1992,Gymnastics,Gymnastics Men's Pommelled Horse,Germany,Data Missing,Russia
1992,Gymnastics,Gymnastics Men's Rings,China,China,Russia
1992,Gymnastics,Gymnastics Men's Team All-Around,Japan,China,Russia
1992,Gymnastics,Gymnastics Women's Balance Beam,Data Missing,China,Russia
1992,Gymnastics,Gymnastics Women's Floor Exercise,Russia,Hungary,Romania
1992,Gymnastics,Gymnastics Women's Horse Vault,Russia,Data Missing,Hungary
1992,Gymnastics,Gymnastics Women's Individual All-Around,Romania,USA,Russia
1992,Gymnastics,Gymnastics Women's Team All-Around,USA,Romania,Russia
1992,Gymnastics,Gymnastics Women's Uneven Bars,USA,Russia,China
1992,Handball,Handball Men's Handball,France,Sweden,Russia
1992,Handball,Handball Women's Handball,Russia,Norway,South Korea
1992,Hockey,Hockey Men's Hockey,Pakistan,Australia,Germany
1992,Hockey,Hockey Women's Hockey,UK,Germany,Spain
1992,Judo,Judo Men's Extra-Lightweight,Germany,South Korea,Russia
1992,Judo,Judo Men's Half-Heavyweight,Russia,UK,Hungary
1992,Judo,Judo Men's Half-Lightweight,Cuba,Hungary,Brazil
1992,Judo,Judo Men's Half-Middleweight,France,USA,Japan
1992,Judo,Judo Men's Heavyweight,France,Japan,Russia
1992,Judo,Judo Men's Lightweight,Israel,Hungary,Japan
1992,Judo,Judo Men's Middleweight,Canada,France,Poland
1992,Judo,Judo Women's Extra-Lightweight,Cuba,Japan,France
1992,Judo,Judo Women's Half-Heavyweight,France,Japan,South Korea
1992,Judo,Judo Women's Half-Lightweight,China,Japan,Spain
1992,Judo,Judo Women's Half-Middleweight,China,Israel,France
1992,Judo,Judo Women's Heavyweight,France,Cuba,China
1992,Judo,Judo Women's Lightweight,Cuba,UK,Spain
1992,Judo,Judo Women's Middleweight,Belgium,Italy,Cuba
1992,Modern Pentathlon,Modern Pentathlon Men's Individual,Russia,Hungary,Poland
1992,Modern Pentathlon,Modern Pentathlon Men's Team,Italy,Russia,Poland
1992,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Russia,Spain,Russia
1992,Rowing,Rowing Men's Coxed Eights,Germany,Romania,Canada
1992,Rowing,Rowing Men's Coxed Fours,Poland,Germany,Romania
1992,Rowing,Rowing Men's Coxed Pairs,Romania,Italy,UK
1992,Rowing,Rowing Men's Coxless Fours,Slovenia,USA,Australia
1992,Rowing,Rowing Men's Coxless Pairs,Slovenia,Germany,UK
1992,Rowing,Rowing Men's Double Sculls,Netherlands,Austria,Australia
1992,Rowing,Rowing Men's Quadruple Sculls,Italy,Norway,Germany
1992,Rowing,Rowing Men's Single Sculls,Poland,Czech Republic,Germany
1992,Rowing,Rowing Women's Coxed Eights,Germany,Romania,Canada
1992,Rowing,Rowing Women's Coxless Fours,Germany,USA,Canada
1992,Rowing,Rowing Women's Coxless Pairs,USA,Germany,Canada
1992,Rowing,Rowing Women's Double Sculls,China,Romania,Germany
1992,Rowing,Rowing Women's Quadruple Sculls,Russia,Romania,Germany
1992,Rowing,Rowing Women's Single Sculls,Canada,Belgium,Romania
1992,Sailing,Sailing Men's One Person Dinghy,New Zealand,USA,Spain
1992,Sailing,Sailing Men's Two Person Dinghy,Estonia,USA,Spain
1992,Sailing,Sailing Men's Windsurfer,Australia,USA,France
1992,Sailing,Sailing Mixed Multihull,Australia,USA,France
1992,Sailing,Sailing Mixed Three Person Keelboat,UK,USA,Denmark
1992,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Denmark,USA,Spain
1992,Sailing,Sailing Mixed Two Person Keelboat,Canada,New Zealand,USA
1992,Sailing,Sailing Women's One Person Dinghy,USA,Spain,Norway
1992,Sailing,Sailing Women's Two Person Dinghy,USA,New Zealand,Spain
1992,Sailing,Sailing Women's Windsurfer,Netherlands,China,New Zealand
1992,Shooting,"Shooting Men's Air Pistol, 10 metres",Romania,Russia,China
1992,Shooting,"Shooting Men's Air Rifle, 10 metres",Germany,France,Russia
1992,Shooting,"Shooting Men's Free Pistol, 50 metres",Sweden,China,Russia
1992,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Russia,Latvia,Germany
1992,Shooting,"Shooting Men's Running Target, 10 metres",Czech Republic,Russia,Germany
1992,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Individual Olympic Athletes,Norway,South Korea
1992,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Japan,USA,Russia
1992,Shooting,Shooting Mixed Skeet,Italy,Peru,China
1992,Shooting,Shooting Mixed Trap,Italy,Japan,Czech Republic
1992,Shooting,"Shooting Women's Air Pistol, 10 metres",Bulgaria,Individual Olympic Athletes,Russia
1992,Shooting,"Shooting Women's Air Rifle, 10 metres",Individual Olympic Athletes,Bulgaria,South Korea
1992,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Poland,Bulgaria,USA
1992,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Mongolia,China,Russia
1992,Swimming,"Swimming Men's 1,500 metres Freestyle",Germany,Australia,Australia
1992,Swimming,Swimming Men's 100 metres Backstroke,USA,USA,Canada
1992,Swimming,Swimming Men's 100 metres Breaststroke,Australia,Hungary,USA
1992,Swimming,Swimming Men's 100 metres Butterfly,Suriname,Poland,USA
1992,Swimming,Swimming Men's 100 metres Freestyle,France,Brazil,Russia
1992,Swimming,Swimming Men's 200 metres Backstroke,Italy,Russia,Spain
1992,Swimming,Swimming Men's 200 metres Breaststroke,UK,Hungary,USA
1992,Swimming,Swimming Men's 200 metres Butterfly,France,New Zealand,USA
1992,Swimming,Swimming Men's 200 metres Freestyle,Finland,Sweden,Russia
1992,Swimming,Swimming Men's 200 metres Individual Medley,Hungary,USA,Hungary
1992,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Germany,Russia,USA
1992,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Canada,Russia,USA
1992,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,USA,Sweden,Russia
1992,Swimming,Swimming Men's 400 metres Freestyle,Sweden,Australia,Russia
1992,Swimming,Swimming Men's 400 metres Individual Medley,Italy,USA,Hungary
1992,Swimming,Swimming Men's 50 metres Freestyle,USA,USA,Russia
1992,Swimming,Swimming Women's 100 metres Backstroke,USA,Hungary,Hungary
1992,Swimming,Swimming Women's 100 metres Breaststroke,Australia,USA,Russia
1992,Swimming,Swimming Women's 100 metres Butterfly,France,USA,China
1992,Swimming,Swimming Women's 100 metres Freestyle,Germany,USA,China
1992,Swimming,Swimming Women's 200 metres Backstroke,Australia,Germany,Hungary
1992,Swimming,Swimming Women's 200 metres Breaststroke,USA,China,Japan
1992,Swimming,Swimming Women's 200 metres Butterfly,Australia,China,USA
1992,Swimming,Swimming Women's 200 metres Freestyle,Germany,Germany,USA
1992,Swimming,Swimming Women's 200 metres Individual Medley,Germany,USA,China
1992,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Germany,China,USA
1992,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Russia,Germany,USA
1992,Swimming,Swimming Women's 400 metres Freestyle,Australia,USA,Germany
